muobs	zHD	zhel	mu-M	mu-M_err
35.77245	0.03518	0.034889	16.42245	0.15235
35.942049999999995	0.03578	0.035397	16.59205	0.1761
36.12055	0.03682	0.036966	16.77055	0.12655
36.09885	0.037	0.036627	16.74885	0.12725
35.91045	0.03713	0.036215	16.56045	0.1177
36.1696	0.0373	0.036428	16.8196	0.11505
36.1208	0.03743	0.03705	16.7708	0.1166
35.9351	0.03791	0.03759	16.5851	0.2001
36.1164	0.038	0.036955	16.7664	0.13185
36.34715	0.03827	0.039094	16.99715	0.1201
36.2521	0.03837	0.037994	16.9021	0.16555
36.21145	0.03863	0.036974	16.86145	0.1275
36.0574	0.03984	0.038518	16.7074	0.1146
36.1706	0.04028	0.040658	16.8206	0.11335
36.1428	0.04067	0.040388	16.7928	0.1127
36.4028	0.04093	0.040688	17.0528	0.11665
36.080200000000005	0.04093	0.037894	16.7302	0.1297
36.3467	0.0415	0.039972	16.9967	0.1259
36.283249999999995	0.04269	0.041648	16.93325	0.117
36.326750000000004	0.0431	0.043526	16.97675	0.10685
36.28145	0.04341	0.043064	16.93145	0.1209
36.27415	0.04437	0.045197	16.92415	0.11995
36.07085	0.04437	0.044197	16.72085	0.19805
36.5555	0.04486	0.044719	17.2055	0.14795
36.64255	0.04582	0.045032	17.29255	0.1243
36.6322	0.04597	0.045894	17.2822	0.1025
36.53185	0.04651	0.045036	17.18185	0.11625
36.334199999999996	0.0471	0.046046	16.9842	0.14465
36.5179	0.04713	0.04591	17.1679	0.1151
36.51275	0.04714	0.046071	17.16275	0.12315
36.7844	0.04819	0.049448	17.4344	0.12175
36.67405	0.04949	0.048405	17.32405	0.12545
36.70275	0.04976	0.051386	17.35275	0.13525
36.640299999999996	0.05035	0.04997	17.2903	0.16335
36.92225	0.05067	0.049998	17.57225	0.158
36.77035	0.05092	0.050262	17.42035	0.1224
36.92915	0.05322	0.052892	17.57915	0.12805
36.972049999999996	0.05344	0.052821	17.62205	0.1398
36.8187	0.05359	0.052936	17.4687	0.1439
36.671800000000005	0.05418	0.054207	17.3218	0.11385
36.802099999999996	0.05458	0.054458	17.4521	0.1018
36.95185	0.05495	0.054	17.60185	0.1165
36.911649999999995	0.05573	0.055889	17.56165	0.10915
36.58215	0.05581	0.056006	17.23215	0.12285
37.08355	0.05684	0.056939	17.73355	0.1203
37.00695	0.05715	0.057329	17.65695	0.1072
36.954449999999994	0.05721	0.057827	17.60445	0.1094
37.141999999999996	0.0589	0.059931	17.792	0.11395
37.1207	0.05895	0.059182	17.7707	0.10045
37.067750000000004	0.05948	0.058332	17.71775	0.12625
37.2746	0.06119	0.060339	17.9246	0.11905
37.449749999999995	0.06441	0.064995	18.09975	0.1085
37.13945	0.06455	0.064297	17.78945	0.1136
37.22655	0.06481	0.065327	17.87655	0.1109
37.262550000000005	0.06559	0.065899	17.91255	0.12675
37.3381	0.06641	0.067035	17.9881	0.1134
37.66035	0.06845	0.067497	18.31035	0.1248
37.51815	0.06877	0.067853	18.16815	0.11055
37.5278	0.06888	0.069998	18.1778	0.15105
37.83435	0.0706	0.070028	18.48435	0.29975
37.40925	0.07063	0.069699	18.05925	0.1229
37.50745	0.07141	0.070791	18.15745	0.1192
37.3621	0.0718	0.072676	18.0121	0.1254
37.585499999999996	0.07369	0.074003	18.2355	0.1566
37.238200000000006	0.07515	0.074995	17.8882	0.1248
37.6488	0.07523	0.075943	18.2988	0.10185
37.727999999999994	0.0755	0.074964	18.378	0.11965
38.107600000000005	0.07877	0.079377	18.7576	0.11205
37.889700000000005	0.07883	0.079874	18.5397	0.12205
37.687	0.07976	0.078992	18.337	0.10315
37.861000000000004	0.08162	0.082633	18.511	0.10425
37.87945	0.08223	0.081796	18.52945	0.1223
37.867900000000006	0.08286	0.083497	18.5179	0.1055
38.0938	0.08328	0.083989	18.7438	0.11605
37.97285	0.08534	0.08624	18.62285	0.1057
37.958	0.08575	0.086484	18.608	0.10035
38.0296	0.08798	0.08906	18.6796	0.1066
37.8309	0.08833	0.088889	18.4809	0.11615
37.993449999999996	0.08859	0.089686	18.64345	0.10605
38.07405	0.0896	0.089013	18.72405	0.11685
38.10805	0.09121	0.089992	18.75805	0.1103
38.3047	0.09201	0.093124	18.9547	0.1139
38.2076	0.09278	0.093243	18.8576	0.109
38.299549999999996	0.0939	0.094906	18.94955	0.14945
38.239000000000004	0.094	0.095007	18.889	0.10285
38.1715	0.09641	0.097489	18.8215	0.14795
38.5329	0.09929	0.098229	19.1829	0.10965
38.307050000000004	0.10036	0.101255	18.95705	0.11145
38.4307	0.10044	0.100029	19.0807	0.10935
38.4031	0.10227	0.101501	19.0531	0.1106
38.50365	0.10242	0.101146	19.15365	0.1077
38.51175	0.1028	0.10387	19.16175	0.1443
38.25405	0.10293	0.103381	18.90405	0.12325
38.51045	0.10298	0.104044	19.16045	0.103
38.45195	0.1034	0.104549	19.10195	0.1007
38.31075	0.1036	0.104715	18.96075	0.10555
38.4667	0.10588	0.105017	19.1167	0.10015
38.440349999999995	0.10643	0.107506	19.09035	0.10245
38.5684	0.10689	0.107999	19.2184	0.10455
38.54495	0.1072	0.106038	19.19495	0.1111
38.594750000000005	0.10757	0.108442	19.24475	0.10865
38.522099999999995	0.10902	0.110087	19.1721	0.10285
38.64245	0.10989	0.109098	19.29245	0.12085
38.73095	0.11229	0.113577	19.38095	0.1026
38.4771	0.11376	0.114761	19.1271	0.10675
38.64475	0.11639	0.117434	19.29475	0.10185
38.73465	0.11659	0.116934	19.38465	0.1036
38.76925	0.11762	0.118057	19.41925	0.10595
38.54345	0.11782	0.119199	19.19345	0.0991
38.70185	0.11787	0.118937	19.35185	0.11365
38.79875	0.1187	0.118944	19.44875	0.1339
38.61765	0.1187	0.118178	19.26765	0.1244
38.68475	0.11944	0.119032	19.33475	0.1245
39.001850000000005	0.11981	0.120853	19.65185	0.142
38.71835	0.12005	0.121096	19.36835	0.1021
38.87005	0.12029	0.121542	19.52005	0.11295
38.7188	0.12068	0.120001	19.3688	0.1916
38.69125	0.12175	0.123087	19.34125	0.09805
38.93065	0.1218	0.122851	19.58065	0.13445
38.72365	0.12211	0.122027	19.37365	0.11495
38.7448	0.1229	0.124072	19.3948	0.11665
38.79025	0.12291	0.123127	19.44025	0.1033
38.769800000000004	0.12347	0.124465	19.4198	0.10285
38.924099999999996	0.12365	0.125024	19.5741	0.1083
38.7523	0.12368	0.124407	19.4023	0.1022
38.8284	0.1244	0.125735	19.4784	0.1006
38.8184	0.12531	0.123998	19.4684	0.10355
38.71855	0.1262	0.126548	19.36855	0.113
38.935249999999996	0.12631	0.127168	19.58525	0.13485
38.876000000000005	0.12672	0.128097	19.526	0.1097
38.8929	0.12679	0.128104	19.5429	0.11965
38.94325	0.12687	0.127753	19.59325	0.10365
38.9116	0.12783	0.128932	19.5616	0.132
38.93985	0.12891	0.129669	19.58985	0.12795
38.8583	0.12913	0.129907	19.5083	0.1143
38.96205	0.12924	0.13061	19.61205	0.10875
38.897099999999995	0.12941	0.130407	19.5471	0.1075
39.14635	0.12995	0.130915	19.79635	0.12165
39.2793	0.13226	0.132935	19.9293	0.1333
38.88775	0.13269	0.131904	19.53775	0.0994
38.94395	0.13366	0.134481	19.59395	0.101
39.15745	0.13523	0.136001	19.80745	0.1216
39.3171	0.13527	0.136217	19.9671	0.1135
38.93645	0.13653	0.137291	19.58645	0.1105
39.111450000000005	0.13659	0.136909	19.76145	0.12305
39.0902	0.13672	0.137945	19.7402	0.1138
39.114850000000004	0.13679	0.138175	19.76485	0.11075
39.47265	0.13712	0.13848	20.12265	0.11415
39.01285	0.13796	0.139146	19.66285	0.10475
39.053250000000006	0.13806	0.139072	19.70325	0.10245
39.1995	0.13816	0.139557	19.8495	0.1169
39.144400000000005	0.13823	0.139594	19.7944	0.1038
39.34935	0.13847	0.139837	19.99935	0.13335
39.11995	0.13855	0.139576	19.76995	0.1308
39.17205	0.1388	0.139993	19.82205	0.1072
39.1299	0.13947	0.139969	19.7799	0.1129
39.221000000000004	0.14055	0.141761	19.871	0.11635
39.1922	0.14135	0.142016	19.8422	0.13225
39.14675	0.14167	0.143622	19.79675	0.1047
39.23005	0.14343	0.144789	19.88005	0.10815
39.18575	0.14393	0.145221	19.83575	0.113
39.166650000000004	0.14406	0.144671	19.81665	0.10485
39.1606	0.14462	0.145848	19.8106	0.13965
39.25865	0.14519	0.146287	19.90865	0.1399
39.6051	0.14539	0.1447	20.2551	0.1724
39.0231	0.14566	0.146844	19.6731	0.12755
39.26105	0.14648	0.146988	19.91105	0.11095
39.126000000000005	0.14711	0.148518	19.776	0.10335
39.189750000000004	0.14723	0.14788	19.83975	0.1218
39.23745	0.14761	0.147539	19.88745	0.11365
39.1903	0.14774	0.149098	19.8403	0.1023
39.26815	0.14864	0.150028	19.91815	0.1063
39.501549999999995	0.14949	0.149974	20.15155	0.16675
39.2057	0.15062	0.151321	19.8557	0.11605
39.287499999999994	0.15069	0.150018	19.9375	0.11
39.143299999999996	0.15171	0.152851	19.7933	0.10325
39.435550000000006	0.15253	0.153896	20.08555	0.11355
39.28715	0.15269	0.152019	19.93715	0.11585
39.3524	0.15286	0.154207	20.0024	0.10245
39.34965	0.15298	0.153953	19.99965	0.1096
39.1924	0.15333	0.154249	19.8424	0.10465
39.4726	0.15352	0.154541	20.1226	0.10495
39.18105	0.15474	0.156104	19.83105	0.1045
39.3751	0.1549	0.156305	20.0251	0.1063
39.49265	0.15499	0.156344	20.14265	0.11795
39.33785	0.15625	0.156861	19.98785	0.12595
39.37475	0.1567	0.158079	20.02475	0.15485
39.294	0.1568	0.157475	19.944	0.1104
39.4739	0.1568	0.157611	20.1239	0.12545
39.16685	0.15819	0.15954	19.81685	0.12375
39.34615	0.15881	0.160129	19.99615	0.1245
39.18815	0.15933	0.15982	19.83815	0.1054
39.53505	0.15948	0.160014	20.18505	0.1775
39.27285	0.16018	0.160857	19.92285	0.11045
39.426050000000004	0.16031	0.160857	20.07605	0.129
39.33615	0.1604	0.161794	19.98615	0.10955
39.51235	0.16046	0.160006	20.16235	0.167
39.2829	0.16053	0.16133	19.9329	0.1156
39.423649999999995	0.16139	0.160042	20.07365	0.12015
39.4859	0.16163	0.162833	20.1359	0.1299
39.598299999999995	0.16267	0.16384	20.2483	0.1303
39.3737	0.16382	0.164535	20.0237	0.11915
39.38175	0.16448	0.165344	20.03175	0.1083
